step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
336,0.336000,0.087133,0.076401,0.000000,0.087133,0.127420,0.999849
337,0.337000,0.087134,0.076613,0.000000,0.087134,0.122051,0.999849
338,0.338000,0.087128,0.076834,0.000000,0.087128,0.116001,0.999849
339,0.339000,0.087116,0.077065,0.000000,0.087116,0.110657,0.999849
340,0.340000,0.087098,0.077305,0.000000,0.087098,0.105046,0.999849
341,0.341000,0.087074,0.077554,0.000000,0.087074,0.099156,0.999849
342,0.342000,0.087044,0.077812,0.000000,0.087044,0.092875,0.999850
343,0.343000,0.087009,0.078077,0.000000,0.087009,0.087175,0.999850
344,0.344000,0.086969,0.078349,0.000000,0.086969,0.081287,0.999850
345,0.345000,0.086923,0.078629,0.000000,0.086923,0.074919,0.999851
346,0.346000,0.086871,0.078915,0.000000,0.086871,0.069022,0.999851
347,0.347000,0.086815,0.079208,0.000000,0.086815,0.063731,0.999851
348,0.348000,0.086753,0.079507,0.000000,0.086753,0.057527,0.999851
349,0.349000,0.086687,0.079811,0.000000,0.086687,0.051863,0.999852
350,0.350000,0.086615,0.080120,0.000000,0.086615,0.046401,0.999852
351,0.351000,0.086540,0.080433,0.000000,0.086540,0.040136,0.999852
352,0.352000,0.086459,0.080751,0.000000,0.086459,0.034643,0.999853
353,0.353000,0.086375,0.081073,0.000000,0.086375,0.028774,0.999853
354,0.354000,0.086286,0.081398,0.000000,0.086286,0.023108,0.999854
355,0.355000,0.086193,0.081726,0.000000,0.086193,0.017412,0.999854
356,0.356000,0.086096,0.082056,0.000000,0.086096,0.012185,0.999854
357,0.357000,0.085996,0.082389,0.000000,0.085996,0.006617,0.999855
358,0.358000,0.085892,0.082723,0.000000,0.085892,0.001300,0.999855
359,0.359000,0.085784,0.083059,0.000000,0.085784,-0.004589,0.999856
360,0.360000,0.085674,0.083396,0.000000,0.085674,-0.009918,0.999856
361,0.361000,0.085560,0.083733,0.000000,0.085560,-0.015292,0.999857
362,0.362000,0.085443,0.084071,0.000000,0.085443,-0.020880,0.999857
363,0.363000,0.085324,0.084408,0.000000,0.085324,-0.025915,0.999857
364,0.364000,0.085202,0.084745,0.000000,0.085202,-0.030929,0.999858
365,0.365000,0.085078,0.085080,0.000000,0.085078,-0.035544,0.999858
